DateTime	Categoria	NavigatedTo
12/12/2023 15:44:57	Apprendimento	epicode
12/12/2023 15:48:21	Apprendimento	epicode
12/12/2023 15:48:33	Apprendimento	epicode
12/12/2023 15:48:35	Apprendimento	epicode
12/12/2023 15:53:03	Apprendimento	epicode
13/12/2023 08:55:07	Apprendimento	epicode
13/12/2023 08:55:11	Apprendimento	epicode
13/12/2023 12:15:02	Apprendimento	epicode
13/12/2023 12:15:04	Apprendimento	epicode
13/12/2023 12:15:21	Apprendimento	epicode
13/12/2023 12:15:34	Apprendimento	epicode
13/12/2023 12:19:21	Apprendimento	epicode
13/12/2023 14:06:16	Apprendimento	epicode
13/12/2023 14:06:20	Apprendimento	epicode
13/12/2023 14:39:04	Apprendimento	epicode
13/12/2023 14:39:06	Apprendimento	epicode
13/12/2023 14:39:11	Apprendimento	epicode
13/12/2023 14:39:12	Apprendimento	epicode
13/12/2023 16:54:45	Apprendimento	epicode
13/12/2023 16:54:51	Apprendimento	epicode
13/12/2023 17:00:35	Apprendimento	epicode
13/12/2023 17:00:38	Apprendimento	epicode
13/12/2023 17:00:56	Apprendimento	epicode
13/12/2023 17:54:31	Apprendimento	epicode
13/12/2023 23:00:31	Apprendimento	epicode
13/12/2023 23:00:35	Apprendimento	epicode
13/12/2023 23:01:05	Apprendimento	epicode
13/12/2023 23:01:08	Apprendimento	epicode
13/12/2023 23:01:19	Apprendimento	epicode
14/12/2023 09:10:19	Apprendimento	epicode
14/12/2023 09:10:21	Apprendimento	epicode
14/12/2023 09:10:30	Apprendimento	epicode
14/12/2023 09:11:03	Apprendimento	epicode
14/12/2023 09:43:58	Apprendimento	epicode
14/12/2023 09:43:59	Apprendimento	epicode
14/12/2023 09:44:02	Apprendimento	epicode
14/12/2023 09:44:06	Apprendimento	epicode
14/12/2023 09:44:09	Apprendimento	epicode
14/12/2023 09:44:21	Apprendimento	epicode
14/12/2023 11:52:19	Apprendimento	epicode
14/12/2023 12:28:51	Apprendimento	epicode
14/12/2023 12:28:53	Apprendimento	epicode
14/12/2023 12:28:58	Apprendimento	epicode
14/12/2023 13:55:01	Apprendimento	epicode
14/12/2023 13:55:04	Apprendimento	epicode
14/12/2023 14:05:15	Apprendimento	epicode
14/12/2023 14:05:17	Apprendimento	epicode
14/12/2023 14:05:21	Apprendimento	epicode
14/12/2023 14:05:29	Apprendimento	epicode
14/12/2023 14:07:38	Apprendimento	epicode
14/12/2023 14:07:39	Apprendimento	epicode
14/12/2023 17:42:46	Apprendimento	epicode
14/12/2023 17:42:50	Apprendimento	epicode
14/12/2023 17:43:00	Apprendimento	epicode
14/12/2023 17:43:06	Apprendimento	epicode
14/12/2023 17:43:12	Apprendimento	epicode
14/12/2023 17:43:36	Apprendimento	epicode
14/12/2023 17:43:38	Apprendimento	epicode
14/12/2023 17:43:40	Apprendimento	epicode
14/12/2023 17:43:42	Apprendimento	epicode
14/12/2023 17:43:47	Apprendimento	epicode
14/12/2023 17:44:04	Apprendimento	epicode
15/12/2023 08:58:32	Apprendimento	epicode
